Fecha,Tipo,Monto,Saldo_Nuevo
2025-09-20 10:47:32,ENTRADA,200.00,200.00
2025-09-20 12:08:14,CORTE,200.00,0.00
2025-09-20 12:08:20,ENTRADA,200.00,200.00
2025-09-20 12:15:17,VENTA,40.00,240.00
2025-09-20 12:21:45,ENTREGA_MANUAL,200.00,40.00
2025-09-20 13:19:15,ENTRADA,100.00,140.00
2025-10-08 09:53:56,VENTA,20.00,160.00
2025-10-08 09:54:23,VENTA,20.00,180.00
2025-10-08 10:11:10,VENTA,10.00,190.00
2025-10-08 13:02:30,VENTA,40.00,230.00
2025-10-08 13:06:41,VENTA,30.00,260.00
2025-10-08 13:09:55,VENTA,20.00,280.00
2025-10-08 13:13:38,VENTA,20.00,300.00
2025-10-08 13:14:43,VENTA,30.00,330.00
2025-10-08 13:40:42,VENTA,20.00,350.00
2025-10-08,14:31:20,VENTA,4.00,350.00,354.00,Venta de productos
2025-10-08,14:45:37,VENTA,6.00,354.00,360.00,Venta de productos
2025-10-08,14:50:46,VENTA,4.00,360.00,364.00,Venta de productos
2025-10-08,15:33:14,VENTA,4.00,364.00,368.00,Venta de productos
2025-10-08,15:34:04,VENTA,30.00,368.00,398.00,Venta de productos
2025-10-08,15:36:14,VENTA,4.00,398.00,402.00,Venta de productos
